id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;M;claster
51;0.06666666666666667;0.09611900275734897;0.8705003129416393;0.8118263558443454;0.0;0.25;0.0;0.0;0.06666666666666667;0.03658536585544319;0.0;0.25;0.0;0;0;0;0.25;2
52;0.06666666666666667;0.08789584609482831;0.6833818239374418;0.7221858219112273;0.0;0.583333333;0.0;0.0;0.2;0.2560975609881023;0.0;0.0;0.0;0;0;0;0.0;0
53;0.06666666666666667;0.10101608719432291;0.9349649146431869;0.8427086129050172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
54;0.06666666666666667;0.10101608719432291;0.9349649146431869;0.8427086129050172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
55;0.06666666666666667;0.0899639326475752;0.7485310068468041;0.7533960321446713;0.225;0.225;0.25;0.14285714285714288;0.13333333333333333;0.06585365853979774;0.0;0.0;0.0;0;0;0;0.0;0
56;0.06666666666666667;0.09356768656185656;0.8372981921360274;0.7959206269648929;0.25;0.0;0.125;0.07936507936507936;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
57;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
58;0.06666666666666667;0.09500976179683712;0.7809344509457918;0.7689191490312682;0.0;0.666666667;0.0;0.0;0.13333333333333333;0.19512195118024986;0.0;0.25;0.0;0;0;0;0.25;2
59;0.06666666666666667;0.08760685737856419;0.7865251878921614;0.7715974332335294;0.2;0.0;0.125;0.0634920634920635;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
60;0.06666666666666667;0.09554259368605282;0.858976552552472;0.8063058107273011;0.0;0.333333333;0.0;0.0;0.06666666666666667;0.0487804877584771;0.0;0.0;0.0;0;0;0;0.0;0
61;0.06666666666666667;0.1021042823249834;0.9452336122230132;0.8476279104966005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
62;0.06666666666666667;0.10041132805540957;0.9110046216594184;0.8312302518579896;0.0;0.25;0.0;0.0;0.06666666666666667;0.03658536585544319;0.0;0.0;0.0;0;0;0;0.0;0
63;0.06666666666666667;0.09212891277487804;0.8291973295709757;0.7920398477117095;0.2;0.0;0.125;0.0634920634920635;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
64;0.06666666666666667;0.0771949923578922;0.5586741971188265;0.6624436856466002;0.25;0.566666667;0.125;0.07936507936507936;0.2;0.2487804878170137;0.0;0.0625;0.0;0;0;0;0.0625;0
65;0.06666666666666667;0.0999278920636624;0.9246962170633605;0.8377893153134339;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
66;0.06666666666666667;0.09574397371668894;0.8487078549726457;0.8013865131357177;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
67;0.06666666666666667;0.09847696531346466;0.9110046216594184;0.8312302518579896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
68;0.06666666666666667;0.09182616179082086;0.7843573508236472;0.7705589148951294;0.25;0.25;0.125;0.07936507936507936;0.13333333333333333;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
69;0.06666666666666667;0.07888790541207542;0.5892520968069471;0.6770922606550474;0.625;0.0;0.25;0.39682539682539686;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
70;0.06666666666666667;0.09527242244806128;0.8442580873905474;0.7992548175126984;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
71;0.06666666666666667;0.09527242244806128;0.8442580873905474;0.7992548175126984;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
72;0.06666666666666667;0.09333805970611632;0.8442580873905474;0.7992548175126984;0.0;0.25;0.0;0.0;0.06666666666666667;0.03658536585544319;0.0;0.375;0.0;0;0;0;0.375;2
73;0.06666666666666667;0.1031924774556439;0.9555023098028395;0.8525472080881837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0;0;0;0.375;2
74;0.06666666666666667;0.08606279227918198;0.7330138629245155;0.745962426937213;0.333333333;0.333333333;0.125;0.10582010571428573;0.06666666666666667;0.0487804877584771;0.0;0.25;0.0;0;0;0;0.25;2
75;0.06666666666666667;0.10476431492705325;0.9703348745710526;0.8596528601228699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
76;0.06666666666666667;0.10178185418850043;0.9421910361511614;0.8461703407837746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
77;0.06666666666666667;0.10476431492705325;0.9703348745710526;0.8596528601228699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
78;0.06666666666666667;0.09351932240939632;0.8368418060333105;0.7957019914322874;0.25;0.0;0.125;0.07936507936507936;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
79;0.06666666666666667;0.10065298409217292;0.8986821845636268;0.8253270947480896;0.0;0.225;0.0;0.0;0.13333333333333333;0.06585365853979774;0.0;0.0;0.0;0;0;0;0.0;0
80;0.06666666666666667;0.0877757607696233;0.7552627069962261;0.75662090505231;0.333333333;0.25;0.125;0.10582010571428573;0.06666666666666667;0.03658536585544319;0.5;0.166666666625;0.0;0;0;0;0.29166666662499996;2
81;0.06666666666666667;0.10403885155195437;0.9634890748153421;0.8563733283951477;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
