wSW;wR;wPt;SW;R;Pt;kSW;kR;claster;SumID;F;id
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;32
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;33
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;34
0.0;0.0;0;0.0;0.17073170737418206;0;0.0;0.0;0;0.17073170737418206;0;35
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;36
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;37
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;38
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;39
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;40
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;41
0.5;0.0;0;0.31746031746031744;0.0;0;0.25;0.0;0;1.0674603174603174;0;42
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;43
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;45
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;46
0.0;0.0;0;0.0;0.21951219513265915;0;0.0;0.0;0;0.21951219513265915;0;47
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;48
0.0;0.0;0;0.0;0.3658536585544319;0;0.0;0.0;0;0.3658536585544319;0;49
0.0;0.0;0;0.0;0.2560975609881023;0;0.0;0.0;0;0.2560975609881023;0;52
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;53
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;54
0.0;0.0;0;0.14285714285714288;0.0;0;0.25;0.0;0;0.3928571428571429;0;55
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;56
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;59
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;60
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;61
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;62
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;63
0.0;0.0;0;0.0;0.2487804878170137;0;0.0;0.0;0;0.2487804878170137;0;64
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;65
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;66
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;67
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;68
0.625;0.0;0;0.39682539682539686;0.0;0;0.25;0.0;0;1.2718253968253967;0;69
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;70
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;71
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;75
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;76
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;77
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;78
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;79
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;81
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;82
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;83
0.0;0.0;0;0.0;0.19512195118024986;0;0.0;0.0;0;0.19512195118024986;0;86
0.0;0.0;0;0.24867724857142856;0.0;0;0.375;0.0;0;0.6236772485714286;0;87
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;88
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;89
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;90
0.0;0.0;0;0.0;0.21951219513265915;0;0.0;0.0;0;0.21951219513265915;0;93
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;94
0.0;1.0;0;0.0;0.2926829268435455;0;0.0;0.0;-1;1.2926829268435456;0;95
0.0;0.0;0;0.38095238095238093;0.1756097561061273;0;0.5;0.0;0;1.0565621370585083;0;96
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;97
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;98
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;99
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;100
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;102
0.0;0.0;0;0.0;0.19512195118024986;0;0.0;0.0;0;0.19512195118024986;0;103
